"region";"husholdningstype";"tid";"statistikkvariabel";"verdi"
"0101 Halden";"0001 Aleneboende";"2011";"Husholdninger";5216
"0101 Halden";"0001 Aleneboende";"2011";"Inntekt etter skatt, median (kr)";222000
"0101 Halden";"0001 Aleneboende";"2012";"Husholdninger";5302
"0101 Halden";"0001 Aleneboende";"2012";"Inntekt etter skatt, median (kr)";232000
"0101 Halden";"0002 Par uten barn";"2005";"Husholdninger";3303
"0101 Halden";"0002 Par uten barn";"2005";"Inntekt etter skatt, median (kr)";354000
"0101 Halden";"0002 Par uten barn";"2006";"Husholdninger";3274
"0101 Halden";"0002 Par uten barn";"2006";"Inntekt etter skatt, median (kr)";376000
"0101 Halden";"0002 Par uten barn";"2007";"Husholdninger";3285
"0101 Halden";"0002 Par uten barn";"2007";"Inntekt etter skatt, median (kr)";408000
"0101 Halden";"0002 Par uten barn";"2008";"Husholdninger";3289
"0101 Halden";"0002 Par uten barn";"2008";"Inntekt etter skatt, median (kr)";438000
"0101 Halden";"0002 Par uten barn";"2009";"Husholdninger";3343
"0101 Halden";"0002 Par uten barn";"2009";"Inntekt etter skatt, median (kr)";444000
"0101 Halden";"0002 Par uten barn";"2010";"Husholdninger";3403
"0101 Halden";"0002 Par uten barn";"2010";"Inntekt etter skatt, median (kr)";461000
"0101 Halden";"0002 Par uten barn";"2011";"Husholdninger";3432
"0101 Halden";"0002 Par uten barn";"2011";"Inntekt etter skatt, median (kr)";483000
"0101 Halden";"0002 Par uten barn";"2012";"Husholdninger";3453
"0101 Halden";"0002 Par uten barn";"2012";"Inntekt etter skatt, median (kr)";511000
"0101 Halden";"0003 Par med barn 0-17 år";"2005";"Husholdninger";2893
"0101 Halden";"0003 Par med barn 0-17 år";"2005";"Inntekt etter skatt, median (kr)";481000
"0101 Halden";"0003 Par med barn 0-17 år";"2006";"Husholdninger";2708
"0101 Halden";"0003 Par med barn 0-17 år";"2006";"Inntekt etter skatt, median (kr)";507000
"0101 Halden";"0003 Par med barn 0-17 år";"2007";"Husholdninger";2717
"0101 Halden";"0003 Par med barn 0-17 år";"2007";"Inntekt etter skatt, median (kr)";548000
"0101 Halden";"0003 Par med barn 0-17 år";"2008";"Husholdninger";2717
"0101 Halden";"0003 Par med barn 0-17 år";"2008";"Inntekt etter skatt, median (kr)";586000
"0101 Halden";"0003 Par med barn 0-17 år";"2009";"Husholdninger";2698
"0101 Halden";"0003 Par med barn 0-17 år";"2009";"Inntekt etter skatt, median (kr)";603000
"0101 Halden";"0003 Par med barn 0-17 år";"2010";"Husholdninger";2742
"0101 Halden";"0003 Par med barn 0-17 år";"2010";"Inntekt etter skatt, median (kr)";616000
"0101 Halden";"0003 Par med barn 0-17 år";"2011";"Husholdninger";2739
"0101 Halden";"0003 Par med barn 0-17 år";"2011";"Inntekt etter skatt, median (kr)";643000
"0101 Halden";"0003 Par med barn 0-17 år";"2012";"Husholdninger";2705
"0101 Halden";"0003 Par med barn 0-17 år";"2012";"Inntekt etter skatt, median (kr)";664000
"0101 Halden";"0004 Enslig mor/far med barn 0-17 år";"2005";"Husholdninger";720
"0101 Halden";"0004 Enslig mor/far med barn 0-17 år";"2005";"Inntekt etter skatt, median (kr)";261000
"0101 Halden";"0004 Enslig mor/far med barn 0-17 år";"2006";"Husholdninger";630
"0101 Halden";"0004 Enslig mor/far med barn 0-17 år";"2006";"Inntekt etter skatt, median (kr)";275000
"0101 Halden";"0004 Enslig mor/far med barn 0-17 år";"2007";"Husholdninger";667
"0101 Halden";"0004 Enslig mor/far med barn 0-17 år";"2007";"Inntekt etter skatt, median (kr)";291000
"0101 Halden";"0004 Enslig mor/far med barn 0-17 år";"2008";"Husholdninger";656
"0101 Halden";"0004 Enslig mor/far med barn 0-17 år";"2008";"Inntekt etter skatt, median (kr)";307000
"0101 Halden";"0004 Enslig mor/far med barn 0-17 år";"2009";"Husholdninger";698
"0101 Halden";"0004 Enslig mor/far med barn 0-17 år";"2009";"Inntekt etter skatt, median (kr)";319000
"0101 Halden";"0004 Enslig mor/far med barn 0-17 år";"2010";"Husholdninger";667
"0101 Halden";"0004 Enslig mor/far med barn 0-17 år";"2010";"Inntekt etter skatt, median (kr)";323000
"0101 Halden";"0004 Enslig mor/far med barn 0-17 år";"2011";"Husholdninger";696
"0101 Halden";"0004 Enslig mor/far med barn 0-17 år";"2011";"Inntekt etter skatt, median (kr)";338000
"0101 Halden";"0004 Enslig mor/far med barn 0-17 år";"2012";"Husholdninger";771
"0101 Halden";"0004 Enslig mor/far med barn 0-17 år";"2012";"Inntekt etter skatt, median (kr)";346000
"0104 Moss";"0000 Alle husholdninger";"2005";"Husholdninger";12694
"0104 Moss";"0000 Alle husholdninger";"2005";"Inntekt etter skatt, median (kr)";306000
"0104 Moss";"0000 Alle husholdninger";"2006";"Husholdninger";13163
"0104 Moss";"0000 Alle husholdninger";"2006";"Inntekt etter skatt, median (kr)";320000
"0104 Moss";"0000 Alle husholdninger";"2007";"Husholdninger";13549
"0104 Moss";"0000 Alle husholdninger";"2007";"Inntekt etter skatt, median (kr)";340000
"0104 Moss";"0000 Alle husholdninger";"2008";"Husholdninger";13910
"0104 Moss";"0000 Alle husholdninger";"2008";"Inntekt etter skatt, median (kr)";360000
"0104 Moss";"0000 Alle husholdninger";"2009";"Husholdninger";14109
"0104 Moss";"0000 Alle husholdninger";"2009";"Inntekt etter skatt, median (kr)";366000
"0104 Moss";"0000 Alle husholdninger";"2010";"Husholdninger";14143
"0104 Moss";"0000 Alle husholdninger";"2010";"Inntekt etter skatt, median (kr)";378000
"0104 Moss";"0000 Alle husholdninger";"2011";"Husholdninger";14326
"0104 Moss";"0000 Alle husholdninger";"2011";"Inntekt etter skatt, median (kr)";396000
"0104 Moss";"0000 Alle husholdninger";"2012";"Husholdninger";14479
"0104 Moss";"0000 Alle husholdninger";"2012";"Inntekt etter skatt, median (kr)";410000
"0104 Moss";"0001 Aleneboende";"2005";"Husholdninger";5038
"0104 Moss";"0001 Aleneboende";"2005";"Inntekt etter skatt, median (kr)";176000
"0104 Moss";"0001 Aleneboende";"2006";"Husholdninger";5212
"0104 Moss";"0001 Aleneboende";"2006";"Inntekt etter skatt, median (kr)";184000
"0104 Moss";"0001 Aleneboende";"2007";"Husholdninger";5523
"0104 Moss";"0001 Aleneboende";"2007";"Inntekt etter skatt, median (kr)";199000
"0104 Moss";"0001 Aleneboende";"2008";"Husholdninger";5790
"0104 Moss";"0001 Aleneboende";"2008";"Inntekt etter skatt, median (kr)";214000
"0104 Moss";"0001 Aleneboende";"2009";"Husholdninger";5857
"0104 Moss";"0001 Aleneboende";"2009";"Inntekt etter skatt, median (kr)";216000
"0104 Moss";"0001 Aleneboende";"2010";"Husholdninger";5861
"0104 Moss";"0001 Aleneboende";"2010";"Inntekt etter skatt, median (kr)";225000
"0104 Moss";"0001 Aleneboende";"2011";"Husholdninger";5875
"0104 Moss";"0001 Aleneboende";"2011";"Inntekt etter skatt, median (kr)";233000
"0104 Moss";"0001 Aleneboende";"2012";"Husholdninger";5975
"0104 Moss";"0001 Aleneboende";"2012";"Inntekt etter skatt, median (kr)";245000
"0104 Moss";"0002 Par uten barn";"2005";"Husholdninger";3247
"0104 Moss";"0002 Par uten barn";"2005";"Inntekt etter skatt, median (kr)";390000
"0104 Moss";"0002 Par uten barn";"2006";"Husholdninger";3299
"0104 Moss";"0002 Par uten barn";"2006";"Inntekt etter skatt, median (kr)";410000
"0104 Moss";"0002 Par uten barn";"2007";"Husholdninger";3339
"0104 Moss";"0002 Par uten barn";"2007";"Inntekt etter skatt, median (kr)";439000
"0104 Moss";"0002 Par uten barn";"2008";"Husholdninger";3394
"0104 Moss";"0002 Par uten barn";"2008";"Inntekt etter skatt, median (kr)";471000
"0104 Moss";"0002 Par uten barn";"2009";"Husholdninger";3400
"0104 Moss";"0002 Par uten barn";"2009";"Inntekt etter skatt, median (kr)";475000
"0104 Moss";"0002 Par uten barn";"2010";"Husholdninger";3411
"0104 Moss";"0002 Par uten barn";"2010";"Inntekt etter skatt, median (kr)";491000
"0104 Moss";"0002 Par uten barn";"2011";"Husholdninger";3487
"0104 Moss";"0002 Par uten barn";"2011";"Inntekt etter skatt, median (kr)";512000
"0104 Moss";"0002 Par uten barn";"2012";"Husholdninger";3508
"0104 Moss";"0002 Par uten barn";"2012";"Inntekt etter skatt, median (kr)";535000
"0104 Moss";"0003 Par med barn 0-17 år";"2005";"Husholdninger";2554
"0104 Moss";"0003 Par med barn 0-17 år";"2005";"Inntekt etter skatt, median (kr)";512000
"0104 Moss";"0003 Par med barn 0-17 år";"2006";"Husholdninger";2681
"0104 Moss";"0003 Par med barn 0-17 år";"2006";"Inntekt etter skatt, median (kr)";534000
"0104 Moss";"0003 Par med barn 0-17 år";"2007";"Husholdninger";2664
"0104 Moss";"0003 Par med barn 0-17 år";"2007";"Inntekt etter skatt, median (kr)";577000
"0104 Moss";"0003 Par med barn 0-17 år";"2008";"Husholdninger";2712
"0104 Moss";"0003 Par med barn 0-17 år";"2008";"Inntekt etter skatt, median (kr)";612000
"0104 Moss";"0003 Par med barn 0-17 år";"2009";"Husholdninger";2778
"0104 Moss";"0003 Par med barn 0-17 år";"2009";"Inntekt etter skatt, median (kr)";613000
"0104 Moss";"0003 Par med barn 0-17 år";"2010";"Husholdninger";2781
"0104 Moss";"0003 Par med barn 0-17 år";"2010";"Inntekt etter skatt, median (kr)";637000
"0104 Moss";"0003 Par med barn 0-17 år";"2011";"Husholdninger";2758
"0104 Moss";"0003 Par med barn 0-17 år";"2011";"Inntekt etter skatt, median (kr)";663000
"0104 Moss";"0003 Par med barn 0-17 år";"2012";"Husholdninger";2715
"0104 Moss";"0003 Par med barn 0-17 år";"2012";"Inntekt etter skatt, median (kr)";696000
"0104 Moss";"0004 Enslig mor/far med barn 0-17 år";"2005";"Husholdninger";773
"0104 Moss";"0004 Enslig mor/far med barn 0-17 år";"2005";"Inntekt etter skatt, median (kr)";280000
"0104 Moss";"0004 Enslig mor/far med barn 0-17 år";"2006";"Husholdninger";816
"0104 Moss";"0004 Enslig mor/far med barn 0-17 år";"2006";"Inntekt etter skatt, median (kr)";288000
"0104 Moss";"0004 Enslig mor/far med barn 0-17 år";"2007";"Husholdninger";852
"0104 Moss";"0004 Enslig mor/far med barn 0-17 år";"2007";"Inntekt etter skatt, median (kr)";306000
"0104 Moss";"0004 Enslig mor/far med barn 0-17 år";"2008";"Husholdninger";850
"0104 Moss";"0004 Enslig mor/far med barn 0-17 år";"2008";"Inntekt etter skatt, median (kr)";319000
"0104 Moss";"0004 Enslig mor/far med barn 0-17 år";"2009";"Husholdninger";854
"0104 Moss";"0004 Enslig mor/far med barn 0-17 år";"2009";"Inntekt etter skatt, median (kr)";322000
"0104 Moss";"0004 Enslig mor/far med barn 0-17 år";"2010";"Husholdninger";825
"0104 Moss";"0004 Enslig mor/far med barn 0-17 år";"2010";"Inntekt etter skatt, median (kr)";332000
"0104 Moss";"0004 Enslig mor/far med barn 0-17 år";"2011";"Husholdninger";862
"0104 Moss";"0004 Enslig mor/far med barn 0-17 år";"2011";"Inntekt etter skatt, median (kr)";343000
"0104 Moss";"0004 Enslig mor/far med barn 0-17 år";"2012";"Husholdninger";897
"0104 Moss";"0004 Enslig mor/far med barn 0-17 år";"2012";"Inntekt etter skatt, median (kr)";361000
"0105 Sarpsborg";"0000 Alle husholdninger";"2005";"Husholdninger";22090
"0105 Sarpsborg";"0000 Alle husholdninger";"2005";"Inntekt etter skatt, median (kr)";303000
"0105 Sarpsborg";"0000 Alle husholdninger";"2006";"Husholdninger";22591
"0105 Sarpsborg";"0000 Alle husholdninger";"2006";"Inntekt etter skatt, median (kr)";316000
"0105 Sarpsborg";"0000 Alle husholdninger";"2007";"Husholdninger";22958
"0105 Sarpsborg";"0000 Alle husholdninger";"2007";"Inntekt etter skatt, median (kr)";340000
"0105 Sarpsborg";"0000 Alle husholdninger";"2008";"Husholdninger";23196
"0105 Sarpsborg";"0000 Alle husholdninger";"2008";"Inntekt etter skatt, median (kr)";366000
"0105 Sarpsborg";"0000 Alle husholdninger";"2009";"Husholdninger";23350
"0105 Sarpsborg";"0000 Alle husholdninger";"2009";"Inntekt etter skatt, median (kr)";371000
"0105 Sarpsborg";"0000 Alle husholdninger";"2010";"Husholdninger";23588
"0105 Sarpsborg";"0000 Alle husholdninger";"2010";"Inntekt etter skatt, median (kr)";385000
"0105 Sarpsborg";"0000 Alle husholdninger";"2011";"Husholdninger";23832
"0105 Sarpsborg";"0000 Alle husholdninger";"2011";"Inntekt etter skatt, median (kr)";402000
"0105 Sarpsborg";"0000 Alle husholdninger";"2012";"Husholdninger";24094
"0105 Sarpsborg";"0000 Alle husholdninger";"2012";"Inntekt etter skatt, median (kr)";415000
"0105 Sarpsborg";"0001 Aleneboende";"2005";"Husholdninger";8122
"0105 Sarpsborg";"0001 Aleneboende";"2005";"Inntekt etter skatt, median (kr)";169000
"0105 Sarpsborg";"0001 Aleneboende";"2006";"Husholdninger";8321
"0105 Sarpsborg";"0001 Aleneboende";"2006";"Inntekt etter skatt, median (kr)";176000
"0105 Sarpsborg";"0001 Aleneboende";"2007";"Husholdninger";8585
"0105 Sarpsborg";"0001 Aleneboende";"2007";"Inntekt etter skatt, median (kr)";191000
"0105 Sarpsborg";"0001 Aleneboende";"2008";"Husholdninger";8615
"0105 Sarpsborg";"0001 Aleneboende";"2008";"Inntekt etter skatt, median (kr)";206000
"0105 Sarpsborg";"0001 Aleneboende";"2009";"Husholdninger";8666
"0105 Sarpsborg";"0001 Aleneboende";"2009";"Inntekt etter skatt, median (kr)";209000
"0105 Sarpsborg";"0001 Aleneboende";"2010";"Husholdninger";8753
"0105 Sarpsborg";"0001 Aleneboende";"2010";"Inntekt etter skatt, median (kr)";217000
"0105 Sarpsborg";"0001 Aleneboende";"2011";"Husholdninger";8924
"0105 Sarpsborg";"0001 Aleneboende";"2011";"Inntekt etter skatt, median (kr)";227000
"0105 Sarpsborg";"0001 Aleneboende";"2012";"Husholdninger";9167
"0105 Sarpsborg";"0001 Aleneboende";"2012";"Inntekt etter skatt, median (kr)";235000
"0105 Sarpsborg";"0002 Par uten barn";"2005";"Husholdninger";5716
"0105 Sarpsborg";"0002 Par uten barn";"2005";"Inntekt etter skatt, median (kr)";361000
"0105 Sarpsborg";"0002 Par uten barn";"2006";"Husholdninger";5899
"0105 Sarpsborg";"0002 Par uten barn";"2006";"Inntekt etter skatt, median (kr)";380000
"0105 Sarpsborg";"0002 Par uten barn";"2007";"Husholdninger";5934
"0105 Sarpsborg";"0002 Par uten barn";"2007";"Inntekt etter skatt, median (kr)";411000
"0105 Sarpsborg";"0002 Par uten barn";"2008";"Husholdninger";6001
"0105 Sarpsborg";"0002 Par uten barn";"2008";"Inntekt etter skatt, median (kr)";442000
"0105 Sarpsborg";"0002 Par uten barn";"2009";"Husholdninger";5957
"0105 Sarpsborg";"0002 Par uten barn";"2009";"Inntekt etter skatt, median (kr)";447000
"0105 Sarpsborg";"0002 Par uten barn";"2010";"Husholdninger";5985
"0105 Sarpsborg";"0002 Par uten barn";"2010";"Inntekt etter skatt, median (kr)";462000
"0105 Sarpsborg";"0002 Par uten barn";"2011";"Husholdninger";5952
"0105 Sarpsborg";"0002 Par uten barn";"2011";"Inntekt etter skatt, median (kr)";485000
"0105 Sarpsborg";"0002 Par uten barn";"2012";"Husholdninger";5944
"0105 Sarpsborg";"0002 Par uten barn";"2012";"Inntekt etter skatt, median (kr)";506000
"0105 Sarpsborg";"0003 Par med barn 0-17 år";"2005";"Husholdninger";4810
"0105 Sarpsborg";"0003 Par med barn 0-17 år";"2005";"Inntekt etter skatt, median (kr)";482000
"0105 Sarpsborg";"0003 Par med barn 0-17 år";"2006";"Husholdninger";4946
"0105 Sarpsborg";"0003 Par med barn 0-17 år";"2006";"Inntekt etter skatt, median (kr)";505000
"0105 Sarpsborg";"0003 Par med barn 0-17 år";"2007";"Husholdninger";4908
"0105 Sarpsborg";"0003 Par med barn 0-17 år";"2007";"Inntekt etter skatt, median (kr)";547000
"0105 Sarpsborg";"0003 Par med barn 0-17 år";"2008";"Husholdninger";4958
"0105 Sarpsborg";"0003 Par med barn 0-17 år";"2008";"Inntekt etter skatt, median (kr)";583000
"0105 Sarpsborg";"0003 Par med barn 0-17 år";"2009";"Husholdninger";5025
"0105 Sarpsborg";"0003 Par med barn 0-17 år";"2009";"Inntekt etter skatt, median (kr)";586000
"0105 Sarpsborg";"0003 Par med barn 0-17 år";"2010";"Husholdninger";5053
"0105 Sarpsborg";"0003 Par med barn 0-17 år";"2010";"Inntekt etter skatt, median (kr)";605000
"0105 Sarpsborg";"0003 Par med barn 0-17 år";"2011";"Husholdninger";5051
"0105 Sarpsborg";"0003 Par med barn 0-17 år";"2011";"Inntekt etter skatt, median (kr)";630000
"0105 Sarpsborg";"0003 Par med barn 0-17 år";"2012";"Husholdninger";4959
"0105 Sarpsborg";"0003 Par med barn 0-17 år";"2012";"Inntekt etter skatt, median (kr)";653000
"0105 Sarpsborg";"0004 Enslig mor/far med barn 0-17 år";"2005";"Husholdninger";1240
"0105 Sarpsborg";"0004 Enslig mor/far med barn 0-17 år";"2005";"Inntekt etter skatt, median (kr)";265000
"0105 Sarpsborg";"0004 Enslig mor/far med barn 0-17 år";"2006";"Husholdninger";1258
"0105 Sarpsborg";"0004 Enslig mor/far med barn 0-17 år";"2006";"Inntekt etter skatt, median (kr)";273000
"0105 Sarpsborg";"0004 Enslig mor/far med barn 0-17 år";"2007";"Husholdninger";1328
"0105 Sarpsborg";"0004 Enslig mor/far med barn 0-17 år";"2007";"Inntekt etter skatt, median (kr)";298000
"0105 Sarpsborg";"0004 Enslig mor/far med barn 0-17 år";"2008";"Husholdninger";1387
"0105 Sarpsborg";"0004 Enslig mor/far med barn 0-17 år";"2008";"Inntekt etter skatt, median (kr)";317000
"0105 Sarpsborg";"0004 Enslig mor/far med barn 0-17 år";"2009";"Husholdninger";1406
"0105 Sarpsborg";"0004 Enslig mor/far med barn 0-17 år";"2009";"Inntekt etter skatt, median (kr)";322000
"0105 Sarpsborg";"0004 Enslig mor/far med barn 0-17 år";"2010";"Husholdninger";1418
"0105 Sarpsborg";"0004 Enslig mor/far med barn 0-17 år";"2010";"Inntekt etter skatt, median (kr)";331000
"0105 Sarpsborg";"0004 Enslig mor/far med barn 0-17 år";"2011";"Husholdninger";1427
"0105 Sarpsborg";"0004 Enslig mor/far med barn 0-17 år";"2011";"Inntekt etter skatt, median (kr)";343000
"0105 Sarpsborg";"0004 Enslig mor/far med barn 0-17 år";"2012";"Husholdninger";1516
"0105 Sarpsborg";"0004 Enslig mor/far med barn 0-17 år";"2012";"Inntekt etter skatt, median (kr)";353000
"0106 Fredrikstad";"0000 Alle husholdninger";"2005";"Husholdninger";30790
"0106 Fredrikstad";"0000 Alle husholdninger";"2005";"Inntekt etter skatt, median (kr)";312000
"0106 Fredrikstad";"0000 Alle husholdninger";"2006";"Husholdninger";31321
"0106 Fredrikstad";"0000 Alle husholdninger";"2006";"Inntekt etter skatt, median (kr)";326000
"0106 Fredrikstad";"0000 Alle husholdninger";"2007";"Husholdninger";31807
"0106 Fredrikstad";"0000 Alle husholdninger";"2007";"Inntekt etter skatt, median (kr)";351000
"0106 Fredrikstad";"0000 Alle husholdninger";"2008";"Husholdninger";32203
"0106 Fredrikstad";"0000 Alle husholdninger";"2008";"Inntekt etter skatt, median (kr)";376000
"0106 Fredrikstad";"0000 Alle husholdninger";"2009";"Husholdninger";32528
"0106 Fredrikstad";"0000 Alle husholdninger";"2009";"Inntekt etter skatt, median (kr)";380000
"0106 Fredrikstad";"0000 Alle husholdninger";"2010";"Husholdninger";32824
"0106 Fredrikstad";"0000 Alle husholdninger";"2010";"Inntekt etter skatt, median (kr)";394000
"0106 Fredrikstad";"0000 Alle husholdninger";"2011";"Husholdninger";33236
"0106 Fredrikstad";"0000 Alle husholdninger";"2011";"Inntekt etter skatt, median (kr)";415000
"0106 Fredrikstad";"0000 Alle husholdninger";"2012";"Husholdninger";33854
"0106 Fredrikstad";"0000 Alle husholdninger";"2012";"Inntekt etter skatt, median (kr)";428000
"0106 Fredrikstad";"0001 Aleneboende";"2005";"Husholdninger";11019
"0106 Fredrikstad";"0001 Aleneboende";"2005";"Inntekt etter skatt, median (kr)";168000
"0106 Fredrikstad";"0001 Aleneboende";"2006";"Husholdninger";11229
"0106 Fredrikstad";"0001 Aleneboende";"2006";"Inntekt etter skatt, median (kr)";175000
"0106 Fredrikstad";"0001 Aleneboende";"2007";"Husholdninger";11609
"0106 Fredrikstad";"0001 Aleneboende";"2007";"Inntekt etter skatt, median (kr)";190000
"0106 Fredrikstad";"0001 Aleneboende";"2008";"Husholdninger";11811
"0106 Fredrikstad";"0001 Aleneboende";"2008";"Inntekt etter skatt, median (kr)";205000
"0106 Fredrikstad";"0001 Aleneboende";"2009";"Husholdninger";11960
"0106 Fredrikstad";"0001 Aleneboende";"2009";"Inntekt etter skatt, median (kr)";209000
"0106 Fredrikstad";"0001 Aleneboende";"2010";"Husholdninger";12001
"0106 Fredrikstad";"0001 Aleneboende";"2010";"Inntekt etter skatt, median (kr)";216000
"0106 Fredrikstad";"0001 Aleneboende";"2011";"Husholdninger";12185
"0106 Fredrikstad";"0001 Aleneboende";"2011";"Inntekt etter skatt, median (kr)";226000
"0106 Fredrikstad";"0001 Aleneboende";"2012";"Husholdninger";12543
"0106 Fredrikstad";"0001 Aleneboende";"2012";"Inntekt etter skatt, median (kr)";235000
"0106 Fredrikstad";"0002 Par uten barn";"2005";"Husholdninger";8071
"0106 Fredrikstad";"0002 Par uten barn";"2005";"Inntekt etter skatt, median (kr)";361000
"0106 Fredrikstad";"0002 Par uten barn";"2006";"Husholdninger";8226
"0106 Fredrikstad";"0002 Par uten barn";"2006";"Inntekt etter skatt, median (kr)";380000
"0106 Fredrikstad";"0002 Par uten barn";"2007";"Husholdninger";8249
"0106 Fredrikstad";"0002 Par uten barn";"2007";"Inntekt etter skatt, median (kr)";413000
"0106 Fredrikstad";"0002 Par uten barn";"2008";"Husholdninger";8257
"0106 Fredrikstad";"0002 Par uten barn";"2008";"Inntekt etter skatt, median (kr)";444000
"0106 Fredrikstad";"0002 Par uten barn";"2009";"Husholdninger";8254
"0106 Fredrikstad";"0002 Par uten barn";"2009";"Inntekt etter skatt, median (kr)";449000
"0106 Fredrikstad";"0002 Par uten barn";"2010";"Husholdninger";8264
"0106 Fredrikstad";"0002 Par uten barn";"2010";"Inntekt etter skatt, median (kr)";464000
"0106 Fredrikstad";"0002 Par uten barn";"2011";"Husholdninger";8395
"0106 Fredrikstad";"0002 Par uten barn";"2011";"Inntekt etter skatt, median (kr)";491000
"0106 Fredrikstad";"0002 Par uten barn";"2012";"Husholdninger";8502
"0106 Fredrikstad";"0002 Par uten barn";"2012";"Inntekt etter skatt, median (kr)";517000
"0106 Fredrikstad";"0003 Par med barn 0-17 år";"2005";"Husholdninger";6938
"0106 Fredrikstad";"0003 Par med barn 0-17 år";"2005";"Inntekt etter skatt, median (kr)";495000
"0106 Fredrikstad";"0003 Par med barn 0-17 år";"2006";"Husholdninger";7074
"0106 Fredrikstad";"0003 Par med barn 0-17 år";"2006";"Inntekt etter skatt, median (kr)";518000
"0106 Fredrikstad";"0003 Par med barn 0-17 år";"2007";"Husholdninger";7141
"0106 Fredrikstad";"0003 Par med barn 0-17 år";"2007";"Inntekt etter skatt, median (kr)";558000
"0106 Fredrikstad";"0003 Par med barn 0-17 år";"2008";"Husholdninger";7206
"0106 Fredrikstad";"0003 Par med barn 0-17 år";"2008";"Inntekt etter skatt, median (kr)";598000
"0106 Fredrikstad";"0003 Par med barn 0-17 år";"2009";"Husholdninger";7248
"0106 Fredrikstad";"0003 Par med barn 0-17 år";"2009";"Inntekt etter skatt, median (kr)";607000
"0106 Fredrikstad";"0003 Par med barn 0-17 år";"2010";"Husholdninger";7355
"0106 Fredrikstad";"0003 Par med barn 0-17 år";"2010";"Inntekt etter skatt, median (kr)";622000
"0106 Fredrikstad";"0003 Par med barn 0-17 år";"2011";"Husholdninger";7330
"0106 Fredrikstad";"0003 Par med barn 0-17 år";"2011";"Inntekt etter skatt, median (kr)";651000
"0106 Fredrikstad";"0003 Par med barn 0-17 år";"2012";"Husholdninger";7245
"0106 Fredrikstad";"0003 Par med barn 0-17 år";"2012";"Inntekt etter skatt, median (kr)";676000
"0106 Fredrikstad";"0004 Enslig mor/far med barn 0-17 år";"2005";"Husholdninger";1722
"0106 Fredrikstad";"0004 Enslig mor/far med barn 0-17 år";"2005";"Inntekt etter skatt, median (kr)";271000
"0106 Fredrikstad";"0004 Enslig mor/far med barn 0-17 år";"2006";"Husholdninger";1757
"0106 Fredrikstad";"0004 Enslig mor/far med barn 0-17 år";"2006";"Inntekt etter skatt, median (kr)";282000
"0106 Fredrikstad";"0004 Enslig mor/far med barn 0-17 år";"2007";"Husholdninger";1767
"0106 Fredrikstad";"0004 Enslig mor/far med barn 0-17 år";"2007";"Inntekt etter skatt, median (kr)";301000
"0106 Fredrikstad";"0004 Enslig mor/far med barn 0-17 år";"2008";"Husholdninger";1790
"0106 Fredrikstad";"0004 Enslig mor/far med barn 0-17 år";"2008";"Inntekt etter skatt, median (kr)";318000
"0106 Fredrikstad";"0004 Enslig mor/far med barn 0-17 år";"2009";"Husholdninger";1797
"0106 Fredrikstad";"0004 Enslig mor/far med barn 0-17 år";"2009";"Inntekt etter skatt, median (kr)";323000
